word	log10(p)	rank
生平	   -3.5728	261
以下	   -3.5729	262
时期	   -3.5733	263
限公	   -3.5758	264
地理	   -3.5763	265
已添	   -3.5774	266
存档	   -3.5799	267
清朝	   -3.5806	268
网站	   -3.5808	269
主教	   -3.5819	270
例如	   -3.5824	271
年份	   -3.5843	272
他的	   -3.5850	273
联赛	   -3.5853	274
密度	   -3.5868	275
加入	   -3.5873	276
革命	   -3.5888	277
星期	   -3.5904	278
南省	   -3.5930	279
意大	   -3.5930	280
物保	   -3.5933	281
中学	   -3.5960	282
地名	   -3.5972	283
比赛	   -3.5979	284
广东	   -3.5990	285
会议	   -3.5998	286
主任	   -3.6005	287
列车	   -3.6026	288
基百	   -3.6027	289
放军	   -3.6031	290
生活	   -3.6036	291
女子	   -3.6046	292
男子	   -3.6068	293
军事	   -3.6100	294
俄罗	   -3.6105	295
护单	   -3.6106	296
所有	   -3.6117	297
国政	   -3.6142	298
由于	   -3.6151	299
属于	   -3.6165	300
动物	   -3.6167	301
第四	   -3.6170	302
正式	   -3.6187	303
艺术	   -3.6198	304
自动	   -3.6216	305
河南	   -3.6220	306
克里	   -3.6232	307
排名	   -3.6236	308
最高	   -3.6237	309
昭和	   -3.6240	310
一部	   -3.6240	311
口密	   -3.6256	312
但是	   -3.6260	313
民族	   -3.6266	314
姓名	   -3.6269	315
官方	   -3.6280	316
蒙古	   -3.6286	317
千米	   -3.6288	318
机构	   -3.6306	319
海拔	   -3.6322	320
总统	   -3.6340	321
民国	   -3.6370	322
主持	   -3.6371	323
卡特	   -3.6376	324
重要	   -3.6382	325
马来	   -3.6388	326
电子	   -3.6389	327
因为	   -3.6391	328
国民	   -3.6419	329
学名	   -3.6424	330
江苏	   -3.6430	331
目前	   -3.6434	332
演员	   -3.6438	333
中部	   -3.6443	334
威廉	   -3.6453	335
服务	   -3.6460	336
阿拉	   -3.6464	337
东省	   -3.6464	338
湖南	   -3.6472	339
有一	   -3.6473	340
一次	   -3.6495	341
描述	   -3.6524	342
奥林	   -3.6529	343
京市	   -3.6531	344
已经	   -3.6532	345
根据	   -3.6533	346
一种	   -3.6539	347
轨道	   -3.6561	348
计划	   -3.6569	349
治区	   -3.6575	350
民解	   -3.6582	351
地方	   -3.6588	352
一些	   -3.6607	353
林匹	   -3.6608	354
相关	   -3.6631	355
匹克	   -3.6702	356
也是	   -3.6729	357
部长	   -3.6732	358
建设	   -3.6733	359
国科	   -3.6733	360
工业	   -3.6754	361
另外	   -3.6780	362
需要	   -3.6793	363
跨语	   -3.6805	364
线路	   -3.6810	365
了一	   -3.6820	366
公园	   -3.6828	367
就是	   -3.6839	368
巴西	   -3.6841	369
约翰	   -3.6843	370
领导	   -3.6845	371
福建	   -3.6861	372
参加	   -3.6871	373
斯科	   -3.6874	374
姆斯	   -3.6890	375
联盟	   -3.6893	376
命名	   -3.6904	377
到了	   -3.6910	378
青年	   -3.6917	379
法院	   -3.6931	380
言链	   -3.6937	381
文学	   -3.6943	382
武汉	   -3.6957	383
尔斯	   -3.6961	384
罗马	   -3.6962	385
存在	   -3.6966	386
此外	   -3.6971	387
关于	   -3.6994	388
时代	   -3.7000	389
所在	   -3.7002	390
担任	   -3.7002	391
博物	   -3.7004	392
亚洲	   -3.7011	393
西省	   -3.7013	394
这些	   -3.7016	395
加拿	   -3.7031	396
特林	   -3.7035	397
化学	   -3.7046	398
分布	   -3.7046	399
拿大	   -3.7054	400
十三	   -3.7060	401
学生	   -3.7063	402
高度	   -3.7074	403
关系	   -3.7077	404
教授	   -3.7098	405
高晶	   -3.7122	406
联邦	   -3.7126	407
来西	   -3.7133	408
原名	   -3.7133	409
协议	   -3.7135	410
活动	   -3.7140	411
户贡	   -3.7146	412
朝鲜	   -3.7174	413
尔德	   -3.7177	414
处理	   -3.7197	415
称为	   -3.7204	416
德里	   -3.7214	417
冠军	   -3.7217	418
项目	   -3.7233	419
女性	   -3.7242	420
期间	   -3.7249	421
开发	   -3.7273	422
越南	   -3.7284	423
副主	   -3.7293	424
山西	   -3.7318	425
情况	   -3.7328	426
文件	   -3.7329	427
物馆	   -3.7329	428
个人	   -3.7332	429
日至	   -3.7340	430
三十	   -3.7345	431
快速	   -3.7345	432
理学	   -3.7346	433
帝国	   -3.7347	434
林那	   -3.7349	435
深圳	   -3.7378	436
宗教	   -3.7382	437
标准	   -3.7389	438
报告	   -3.7392	439
发生	   -3.7394	440
当时	   -3.7395	441
之间	   -3.7420	442
河北	   -3.7423	443
二年	   -3.7427	444
成员	   -3.7428	445
独立	   -3.7432	446
阅读	   -3.7433	447
苏联	   -3.7440	448
克运	   -3.7443	449
网络	   -3.7447	450
合作	   -3.7452	451
新加	   -3.7460	452
太平	   -3.7462	453
科技	   -3.7463	454
外交	   -3.7464	455
投票	   -3.7488	456
至今	   -3.7497	457
重庆	   -3.7506	458
一名	   -3.7509	459
家族	   -3.7512	460
用于	   -3.7512	461
机车	   -3.7526	462
云南	   -3.7553	463
第五	   -3.7559	464
摘要	   -3.7568	465
文名	   -3.7569	466
国务	   -3.7569	467
韩国	   -3.7574	468
加坡	   -3.7576	469
速公	   -3.7578	470
毫米	   -3.7581	471
提名	   -3.7586	472
公交	   -3.7595	473
职业	   -3.7631	474
