word	log10(p)	rank
回应	   -4.3402	2098
传播	   -4.3403	2099
治州	   -4.3405	2100
期六	   -4.3407	2101
爆发	   -4.3412	2102
商务	   -4.3412	2103
获奖	   -4.3412	2104
笼草	   -4.3412	2105
不足	   -4.3414	2106
户籍	   -4.3415	2107
猪笼	   -4.3416	2108
週刊	   -4.3420	2109
苏丹	   -4.3420	2110
改变	   -4.3420	2111
几乎	   -4.3421	2112
形山	   -4.3424	2113
星官	   -4.3424	2114
女神	   -4.3427	2115
气象	   -4.3429	2116
经历	   -4.3430	2117
知县	   -4.3430	2118
那州	   -4.3432	2119
逐渐	   -4.3440	2120
仅允	   -4.3441	2121
治疗	   -4.3443	2122
德罗	   -4.3444	2123
吉他	   -4.3447	2124
无限	   -4.3450	2125
深度	   -4.3450	2126
约瑟	   -4.3451	2127
族乡	   -4.3452	2128
平假	   -4.3454	2129
制片	   -4.3455	2130
回族	   -4.3461	2131
职位	   -4.3462	2132
电车	   -4.3462	2133
民币	   -4.3469	2134
兵团	   -4.3473	2135
青山	   -4.3473	2136
百分	   -4.3475	2137
常见	   -4.3475	2138
投入	   -4.3476	2139
考古	   -4.3477	2140
信号	   -4.3477	2141
伊利	   -4.3478	2142
族裔	   -4.3481	2143
以外	   -4.3482	2144
神经	   -4.3483	2145
球甲	   -4.3486	2146
扮演	   -4.3488	2147
协商	   -4.3489	2148
朝政	   -4.3489	2149
饰演	   -4.3492	2150
陨石	   -4.3493	2151
四世	   -4.3493	2152
泉州	   -4.3496	2153
雅黑	   -4.3497	2154
被认	   -4.3499	2155
沙田	   -4.3499	2156
伍德	   -4.3499	2157
古墓	   -4.3500	2158
袭击	   -4.3501	2159
伐利	   -4.3502	2160
新竹	   -4.3506	2161
旗下	   -4.3507	2162
得分	   -4.3508	2163
赢得	   -4.3509	2164
软雅	   -4.3509	2165
阿布	   -4.3512	2166
体操	   -4.3513	2167
召开	   -4.3515	2168
工商	   -4.3517	2169
黄金	   -4.3518	2170
星座	   -4.3518	2171
接力	   -4.3521	2172
批评	   -4.3524	2173
之女	   -4.3525	2174
二级	   -4.3529	2175
维克	   -4.3531	2176
肺炎	   -4.3532	2177
宋朝	   -4.3533	2178
具体	   -4.3534	2179
物信	   -4.3544	2180
诺县	   -4.3553	2181
球锦	   -4.3557	2182
简单	   -4.3559	2183
许自	   -4.3561	2184
绝对	   -4.3561	2185
也被	   -4.3563	2186
领袖	   -4.3568	2187
壮族	   -4.3568	2188
治委	   -4.3569	2189
医生	   -4.3570	2190
巴伐	   -4.3571	2191
东尼	   -4.3578	2192
奖最	   -4.3579	2193
剧情	   -4.3580	2194
女孩	   -4.3585	2195
例子	   -4.3586	2196
省长	   -4.3586	2197
助客	   -4.3588	2198
智利	   -4.3588	2199
立方	   -4.3588	2200
宁夏	   -4.3588	2201
工厂	   -4.3590	2202
洋舰	   -4.3593	2203
三次	   -4.3595	2204
通道	   -4.3603	2205
子女	   -4.3606	2206
多利	   -4.3607	2207
选手	   -4.3609	2208
二届	   -4.3609	2209
县份	   -4.3611	2210
偶像	   -4.3621	2211
姊妹	   -4.3622	2212
苏格	   -4.3624	2213
延伸	   -4.3624	2214
武帝	   -4.3625	2215
承认	   -4.3630	2216
新世	   -4.3632	2217
东站	   -4.3633	2218
高山	   -4.3633	2219
石坑	   -4.3633	2220
常用	   -4.3635	2221
基隆	   -4.3636	2222
手机	   -4.3641	2223
缅甸	   -4.3642	2224
医疗	   -4.3646	2225
军委	   -4.3647	2226
拉多	   -4.3648	2227
鱼类	   -4.3652	2228
结合	   -4.3654	2229
最好	   -4.3656	2230
停靠	   -4.3661	2231
产主	   -4.3663	2232
废除	   -4.3664	2233
似侵	   -4.3665	2234
赛事	   -4.3667	2235
排序	   -4.3668	2236
首席	   -4.3673	2237
会长	   -4.3675	2238
道办	   -4.3680	2239
裁判	   -4.3686	2240
硕士	   -4.3692	2241
监察	   -4.3693	2242
法案	   -4.3697	2243
教信	   -4.3698	2244
输入	   -4.3703	2245
针对	   -4.3703	2246
家级	   -4.3710	2247
装备	   -4.3715	2248
总督	   -4.3719	2249
伯格	   -4.3722	2250
座堂	   -4.3723	2251
奖牌	   -4.3723	2252
组建	   -4.3730	2253
新建	   -4.3731	2254
不断	   -4.3732	2255
可尼	   -4.3732	2256
菲律	   -4.3733	2257
律宾	   -4.3735	2258
并于	   -4.3740	2259
那些	   -4.3743	2260
专线	   -4.3748	2261
加盟	   -4.3748	2262
亲王	   -4.3749	2263
山脉	   -4.3752	2264
目数	   -4.3752	2265
内阁	   -4.3760	2266
水利	   -4.3762	2267
复兴	   -4.3768	2268
推荐	   -4.3768	2269
少数	   -4.3771	2270
姓氏	   -4.3777	2271
科举	   -4.3783	2272
怎么	   -4.3785	2273
置图	   -4.3785	2274
限期	   -4.3786	2275
神社	   -4.3790	2276
栽培	   -4.3794	2277
空航	   -4.3797	2278
八十	   -4.3800	2279
货运	   -4.3801	2280
票房	   -4.3801	2281
朝阳	   -4.3802	2282
古屋	   -4.3806	2283
增长	   -4.3808	2284
修复	   -4.3812	2285
诺贝	   -4.3814	2286
哈佛	   -4.3816	2287
东路	   -4.3821	2288
治家	   -4.3821	2289
也就	   -4.3822	2290
政委	   -4.3825	2291
类间	   -4.3828	2292
本身	   -4.3832	2293
每天	   -4.3834	2294
剧院	   -4.3836	2295
司马	   -4.3837	2296
击败	   -4.3838	2297
下来	   -4.3839	2298
查报	   -4.3846	2299
于海	   -4.3849	2300
谋长	   -4.3850	2301
巴马	   -4.3851	2302
古自	   -4.3852	2303
权利	   -4.3853	2304
关闭	   -4.3855	2305
鉄道	   -4.3859	2306
从而	   -4.3860	2307
阿波	   -4.3862	2308
克萨	   -4.3863	2309
巴克	   -4.3863	2310
与其	   -4.3865	2311
惠州	   -4.3865	2312
起源	   -4.3870	2313
巡洋	   -4.3871	2314
共交	   -4.3875	2315
波利	   -4.3878	2316
对外	   -4.3879	2317
使馆	   -4.3881	2318
当代	   -4.3883	2319
已由	   -4.3884	2320
长于	   -4.3887	2321
瑟夫	   -4.3887	2322
控股	   -4.3894	2323
到达	   -4.3901	2324
长度	   -4.3905	2325
接近	   -4.3905	2326
加勒	   -4.3905	2327
首先	   -4.3907	2328
哈拉	   -4.3908	2329
而成	   -4.3914	2330
展示	   -4.3914	2331
治局	   -4.3918	2332
戴维	   -4.3918	2333
体系	   -4.3920	2334
提到	   -4.3922	2335
山田	   -4.3923	2336
古巴	   -4.3925	2337
妇女	   -4.3926	2338
洛阳	   -4.3930	2339
入侵	   -4.3931	2340
配合	   -4.3932	2341
估计	   -4.3933	2342
海峡	   -4.3933	2343
程师	   -4.3934	2344
经理	   -4.3935	2345
形象	   -4.3938	2346
某些	   -4.3943	2347
登科	   -4.3943	2348
领事	   -4.3944	2349
叙利	   -4.3949	2350
偏食	   -4.3951	2351
草属	   -4.3954	2352
减少	   -4.3955	2353
此时	   -4.3956	2354
已完	   -4.3960	2355
喜剧	   -4.3960	2356
届理	   -4.3961	2357
词典	   -4.3964	2358
月二	   -4.3964	2359
拉维	   -4.3965	2360
田站	   -4.3965	2361
贝格	   -4.3965	2362
莎白	   -4.3967	2363
途径	   -4.3970	2364
幻想	   -4.3977	2365
环球	   -4.3981	2366
促进	   -4.3985	2367
销售	   -4.3987	2368
顾问	   -4.3991	2369
代科	   -4.3996	2370
俄亥	   -4.3997	2371
相信	   -4.3998	2372
亥俄	   -4.3999	2373
农场	   -4.4002	2374
舞蹈	   -4.4002	2375
先进	   -4.4003	2376
古典	   -4.4005	2377
海姆	   -4.4008	2378
奖章	   -4.4008	2379
生了	   -4.4012	2380
作室	   -4.4012	2381
本作	   -4.4015	2382
相比	   -4.4018	2383
隋朝	   -4.4021	2384
埔寨	   -4.4022	2385
固定	   -4.4024	2386
列入	   -4.4027	2387
原本	   -4.4028	2388
对应	   -4.4028	2389
府驻	   -4.4029	2390
阿姆	   -4.4031	2391
涉及	   -4.4032	2392
进攻	   -4.4037	2393
柬埔	   -4.4039	2394
每週	   -4.4040	2395
纳州	   -4.4043	2396
晚报	   -4.4044	2397
创办	   -4.4051	2398
阿卜	   -4.4055	2399
入选	   -4.4061	2400
察院	   -4.4062	2401
东风	   -4.4065	2402
玻璃	   -4.4071	2403
孟加	   -4.4072	2404
军陆	   -4.4072	2405
过去	   -4.4079	2406
州刺	   -4.4080	2407
从事	   -4.4083	2408
指定	   -4.4088	2409
前保	   -4.4096	2410
电气	   -4.4096	2411
容易	   -4.4098	2412
网球	   -4.4102	2413
丈夫	   -4.4103	2414
探索	   -4.4105	2415
弗兰	   -4.4105	2416
洛伐	   -4.4107	2417
棒球	   -4.4111	2418
接替	   -4.4112	2419
现象	   -4.4117	2420
众议	   -4.4118	2421
徐州	   -4.4122	2422
海省	   -4.4124	2423
权力	   -4.4124	2424
律师	   -4.4126	2425
解散	   -4.4127	2426
格鲁	   -4.4129	2427
因而	   -4.4132	2428
枢纽	   -4.4132	2429
分之	   -4.4134	2430
黎明	   -4.4136	2431
神话	   -4.4137	2432
原始	   -4.4144	2433
通讯	   -4.4146	2434
局集	   -4.4152	2435
完工	   -4.4166	2436
等植	   -4.4166	2437
司色	   -4.4167	2438
基州	   -4.4175	2439
分校	   -4.4176	2440
州城	   -4.4177	2441
保存	   -4.4184	2442
退休	   -4.4184	2443
缺乏	   -4.4186	2444
引发	   -4.4189	2445
物数	   -4.4189	2446
塔基	   -4.4191	2447
播映	   -4.4191	2448
女演	   -4.4194	2449
创造	   -4.4196	2450
票率	   -4.4196	2451
淡水	   -4.4201	2452
专门	   -4.4203	2453
之父	   -4.4208	2454
友好	   -4.4213	2455
治协	   -4.4216	2456
换乘	   -4.4224	2457
目内	   -4.4224	2458
事情	   -4.4225	2459
周边	   -4.4226	2460
尺寸	   -4.4229	2461
服役	   -4.4236	2462
总站	   -4.4236	2463
泰因	   -4.4238	2464
权检	   -4.4240	2465
化工	   -4.4244	2466
程式	   -4.4249	2467
情报	   -4.4251	2468
观照	   -4.4254	2469
说法	   -4.4259	2470
珠海	   -4.4261	2471
卜杜	   -4.4265	2472
证券	   -4.4267	2473
原则	   -4.4268	2474
提升	   -4.4272	2475
海报	   -4.4272	2476
间移	   -4.4277	2477
滑冰	   -4.4278	2478
球季	   -4.4278	2479
刑事	   -4.4279	2480
高原	   -4.4291	2481
米兰	   -4.4296	2482
四等	   -4.4299	2483
唐书	   -4.4300	2484
电脑	   -4.4300	2485
起点	   -4.4302	2486
吉隆	   -4.4302	2487
波士	   -4.4305	2488
教座	   -4.4307	2489
古城	   -4.4309	2490
军军	   -4.4311	2491
制定	   -4.4312	2492
已保	   -4.4314	2493
东汉	   -4.4315	2494
暴力	   -4.4316	2495
团军	   -4.4317	2496
该省	   -4.4320	2497
苏维	   -4.4323	2498
桥梁	   -4.4324	2499
高祖	   -4.4326	2500
打开	   -4.4327	2501
巴勒	   -4.4330	2502
并没	   -4.4332	2503
影评	   -4.4333	2504
下属	   -4.4336	2505
万元	   -4.4339	2506
之下	   -4.4342	2507
美少	   -4.4343	2508
直播	   -4.4344	2509
评选	   -4.4344	2510
明植	   -4.4347	2511
结婚	   -4.4350	2512
士顿	   -4.4352	2513
永久	   -4.4353	2514
资产	   -4.4359	2515
带天	   -4.4370	2516
流道	   -4.4372	2517
安妮	   -4.4373	2518
试图	   -4.4373	2519
平县	   -4.4378	2520
带风	   -4.4381	2521
二百	   -4.4385	2522
未能	   -4.4389	2523
能量	   -4.4393	2524
桂林	   -4.4394	2525
度尼	   -4.4394	2526
洛伊	   -4.4397	2527
办理	   -4.4397	2528
而非	   -4.4399	2529
亚军	   -4.4399	2530
全库	   -4.4402	2531
阿富	   -4.4402	2532
财经	   -4.4408	2533
提报	   -4.4408	2534
胡安	   -4.4408	2535
卷三	   -4.4409	2536
威尼	   -4.4410	2537
比例	   -4.4411	2538
书籍	   -4.4412	2539
登陆	   -4.4413	2540
种编	   -4.4414	2541
咖啡	   -4.4418	2542
对象	   -4.4418	2543
智能	   -4.4419	2544
租界	   -4.4420	2545
符号	   -4.4430	2546
乘客	   -4.4430	2547
凌晨	   -4.4433	2548
港口	   -4.4435	2549
提交	   -4.4436	2550
即使	   -4.4437	2551
总局	   -4.4442	2552
编目	   -4.4442	2553
修建	   -4.4447	2554
现场	   -4.4451	2555
院动	   -4.4454	2556
黑体	   -4.4454	2557
犯版	   -4.4460	2558
影节	   -4.4462	2559
长安	   -4.4463	2560
富汗	   -4.4465	2561
分比	   -4.4466	2562
弟弟	   -4.4468	2563
复杂	   -4.4471	2564
收录	   -4.4473	2565
集合	   -4.4476	2566
故居	   -4.4480	2567
此之	   -4.4482	2568
丽莎	   -4.4492	2569
五世	   -4.4492	2570
澳门	   -4.4495	2571
将领	   -4.4498	2572
未完	   -4.4498	2573
黄河	   -4.4500	2574
双方	   -4.4502	2575
队伍	   -4.4504	2576
三字	   -4.4504	2577
失去	   -4.4507	2578
保障	   -4.4507	2579
我不	   -4.4510	2580
血型	   -4.4510	2581
不少	   -4.4510	2582
真正	   -4.4516	2583
不相	   -4.4521	2584
规范	   -4.4521	2585
积分	   -4.4521	2586
字符	   -4.4522	2587
补充	   -4.4523	2588
二字	   -4.4524	2589
洲各	   -4.4525	2590
满洲	   -4.4527	2591
货币	   -4.4528	2592
全长	   -4.4528	2593
哈萨	   -4.4531	2594
逮捕	   -4.4532	2595
清真	   -4.4532	2596
弗吉	   -4.4536	2597
球联	   -4.4537	2598
团队	   -4.4537	2599
过了	   -4.4538	2600
缺少	   -4.4538	2601
都督	   -4.4539	2602
队长	   -4.4543	2603
罗尼	   -4.4548	2604
化物	   -4.4551	2605
红军	   -4.4554	2606
索尼	   -4.4556	2607
高峰	   -4.4563	2608
直属	   -4.4566	2609
节度	   -4.4567	2610
爱情	   -4.4569	2611
不详	   -4.4569	2612
分配	   -4.4571	2613
哈根	   -4.4572	2614
伯恩	   -4.4577	2615
种族	   -4.4580	2616
城墙	   -4.4580	2617
万美	   -4.4581	2618
排球	   -4.4581	2619
算法	   -4.4583	2620
动作	   -4.4584	2621
突破	   -4.4585	2622
伊藤	   -4.4592	2623
迅速	   -4.4595	2624
型柴	   -4.4598	2625
死刑	   -4.4600	2626
吉田	   -4.4605	2627
食物	   -4.4609	2628
而言	   -4.4613	2629
央社	   -4.4614	2630
月起	   -4.4616	2631
多种	   -4.4618	2632
而被	   -4.4621	2633
视节	   -4.4621	2634
驱逐	   -4.4623	2635
当天	   -4.4625	2636
仪式	   -4.4627	2637
百度	   -4.4628	2638
坦丁	   -4.4630	2639
巴登	   -4.4630	2640
发电	   -4.4631	2641
隆坡	   -4.4636	2642
引种	   -4.4638	2643
光之	   -4.4639	2644
二天	   -4.4640	2645
延安	   -4.4641	2646
夫卡	   -4.4650	2647
速铁	   -4.4650	2648
观众	   -4.4658	2649
共识	   -4.4660	2650
全食	   -4.4660	2651
药物	   -4.4663	2652
定理	   -4.4664	2653
正确	   -4.4666	2654
乌鲁	   -4.4667	2655
战士	   -4.4672	2656
普雷	   -4.4675	2657
失败	   -4.4676	2658
动党	   -4.4678	2659
四季	   -4.4679	2660
亚省	   -4.4681	2661
审查	   -4.4682	2662
违反	   -4.4683	2663
皇明	   -4.4686	2664
耶稣	   -4.4687	2665
圣母	   -4.4688	2666
分支	   -4.4698	2667
普遍	   -4.4700	2668
月号	   -4.4701	2669
收藏	   -4.4702	2670
这次	   -4.4703	2671
客户	   -4.4704	2672
教徒	   -4.4706	2673
声音	   -4.4707	2674
社群	   -4.4707	2675
莱昂	   -4.4707	2676
英寸	   -4.4707	2677
更加	   -4.4708	2678
居委	   -4.4710	2679
豪敦	   -4.4711	2680
围绕	   -4.4716	2681
损失	   -4.4720	2682
患者	   -4.4721	2683
消失	   -4.4721	2684
风景	   -4.4724	2685
牌画	   -4.4725	2686
亚运	   -4.4729	2687
亿美	   -4.4730	2688
哥哥	   -4.4731	2689
战列	   -4.4736	2690
创立	   -4.4739	2691
河水	   -4.4739	2692
开工	   -4.4741	2693
神秘	   -4.4743	2694
天然	   -4.4745	2695
不存	   -4.4745	2696
牌得	   -4.4746	2697
工引	   -4.4746	2698
太守	   -4.4746	2699
太祖	   -4.4747	2700
开展	   -4.4751	2701
留下	   -4.4757	2702
肯塔	   -4.4758	2703
乡下	   -4.4759	2704
种栽	   -4.4761	2705
雍正	   -4.4761	2706
逻辑	   -4.4765	2707
迪亚	   -4.4765	2708
施工	   -4.4766	2709
妹妹	   -4.4768	2710
华东	   -4.4770	2711
巴尼	   -4.4770	2712
道夫	   -4.4771	2713
相互	   -4.4772	2714
百合	   -4.4776	2715
课程	   -4.4778	2716
代替	   -4.4778	2717
卡塔	   -4.4783	2718
立陶	   -4.4786	2719
宁县	   -4.4791	2720
选刊	   -4.4792	2721
装置	   -4.4793	2722
奖获	   -4.4794	2723
藏明	   -4.4797	2724
务器	   -4.4801	2725
阁藏	   -4.4802	2726
危机	   -4.4805	2727
屠杀	   -4.4806	2728
义者	   -4.4811	2729
城足	   -4.4812	2730
天局	   -4.4813	2731
夏威	   -4.4817	2732
录选	   -4.4817	2733
演奏	   -4.4822	2734
接触	   -4.4824	2735
举录	   -4.4824	2736
诺伊	   -4.4826	2737
央视	   -4.4827	2738
病逝	   -4.4827	2739
苹果	   -4.4831	2740
前尚	   -4.4831	2741
得票	   -4.4832	2742
布罗	   -4.4833	2743
马帝	   -4.4833	2744
格罗	   -4.4833	2745
度使	   -4.4834	2746
澎湃	   -4.4835	2747
等教	   -4.4837	2748
罗夫	   -4.4838	2749
电动	   -4.4838	2750
百万	   -4.4841	2751
塞罗	   -4.4848	2752
安那	   -4.4848	2753
边界	   -4.4849	2754
陶宛	   -4.4849	2755
展开	   -4.4852	2756
石器	   -4.4852	2757
哈伊	   -4.4853	2758
团结	   -4.4855	2759
装甲	   -4.4860	2760
救援	   -4.4869	2761
似乎	   -4.4872	2762
悉尼	   -4.4872	2763
意识	   -4.4874	2764
警方	   -4.4874	2765
周刊	   -4.4876	2766
三季	   -4.4880	2767
转移	   -4.4883	2768
威夷	   -4.4886	2769
读者	   -4.4886	2770
卷十	   -4.4889	2771
乐团	   -4.4890	2772
贵族	   -4.4893	2773
联络	   -4.4893	2774
其实	   -4.4894	2775
米尼	   -4.4895	2776
理使	   -4.4898	2777
才能	   -4.4901	2778
基米	   -4.4901	2779
查询	   -4.4902	2780
终点	   -4.4910	2781
九十	   -4.4911	2782
蒂亚	   -4.4911	2783
诺维	   -4.4912	2784
米亚	   -4.4913	2785
阶级	   -4.4913	2786
所谓	   -4.4913	2787
考试	   -4.4916	2788
商店	   -4.4918	2789
网页	   -4.4919	2790
飘扬	   -4.4925	2791
免费	   -4.4928	2792
创始	   -4.4932	2793
划分	   -4.4936	2794
兰教	   -4.4936	2795
始建	   -4.4937	2796
雅典	   -4.4938	2797
运专	   -4.4938	2798
官网	   -4.4938	2799
两种	   -4.4940	2800
引入	   -4.4941	2801
男女	   -4.4941	2802
维多	   -4.4942	2803
近期	   -4.4942	2804
安装	   -4.4944	2805
骑士	   -4.4948	2806
女歌	   -4.4948	2807
努力	   -4.4958	2808
川县	   -4.4960	2809
圣马	   -4.4961	2810
通运	   -4.4961	2811
告示	   -4.4962	2812
测量	   -4.4962	2813
华社	   -4.4963	2814
视觉	   -4.4964	2815
空气	   -4.4964	2816
这两	   -4.4965	2817
二甲	   -4.4965	2818
白布	   -4.4969	2819
二代	   -4.4971	2820
蓝色	   -4.4973	2821
满足	   -4.4975	2822
黑暗	   -4.4977	2823
期刊	   -4.4979	2824
河口	   -4.4980	2825
母校	   -4.4980	2826
车次	   -4.4980	2827
降低	   -4.4984	2828
措施	   -4.4985	2829
监狱	   -4.4986	2830
购买	   -4.4988	2831
称号	   -4.4989	2832
疆维	   -4.4991	2833
伊万	   -4.4995	2834
球超	   -4.4997	2835
印刷	   -4.5001	2836
经验	   -4.5003	2837
苗族	   -4.5004	2838
采取	   -4.5006	2839
军官	   -4.5007	2840
决议	   -4.5007	2841
划归	   -4.5009	2842
拆除	   -4.5014	2843
宗室	   -4.5015	2844
县城	   -4.5015	2845
古遗	   -4.5017	2846
牵引	   -4.5020	2847
男孩	   -4.5021	2848
很快	   -4.5025	2849
月食	   -4.5026	2850
丽亚	   -4.5026	2851
保险	   -4.5031	2852
省份	   -4.5031	2853
示威	   -4.5032	2854
领土	   -4.5040	2855
球比	   -4.5042	2856
加工	   -4.5046	2857
祖母	   -4.5048	2858
模拟	   -4.5048	2859
关条	   -4.5051	2860
邀请	   -4.5056	2861
红旗	   -4.5057	2862
男演	   -4.5058	2863
绿色	   -4.5059	2864
塔尼	   -4.5060	2865
真寺	   -4.5065	2866
射击	   -4.5066	2867
强度	   -4.5068	2868
株式	   -4.5070	2869
富士	   -4.5070	2870
卷四	   -4.5070	2871
他语	   -4.5079	2872
毗邻	   -4.5079	2873
被列	   -4.5079	2874
带气	   -4.5080	2875
轨电	   -4.5086	2876
烈士	   -4.5086	2877
加藤	   -4.5088	2878
拜占	   -4.5089	2879
发起	   -4.5092	2880
效力	   -4.5099	2881
受伤	   -4.5100	2882
安迪	   -4.5101	2883
立条	   -4.5103	2884
动态	   -4.5105	2885
传教	   -4.5106	2886
纳粹	   -4.5107	2887
潜艇	   -4.5107	2888
清史	   -4.5110	2889
除此	   -4.5111	2890
段落	   -4.5112	2891
易所	   -4.5112	2892
账户	   -4.5113	2893
竞争	   -4.5116	2894
石刻	   -4.5116	2895
皮埃	   -4.5122	2896
凰网	   -4.5123	2897
普罗	   -4.5123	2898
洪武	   -4.5128	2899
水系	   -4.5129	2900
传奇	   -4.5132	2901
婚姻	   -4.5132	2902
江县	   -4.5139	2903
翰林	   -4.5140	2904
宇航	   -4.5150	2905
发明	   -4.5151	2906
未由	   -4.5152	2907
签署	   -4.5154	2908
化石	   -4.5158	2909
果您	   -4.5159	2910
校园	   -4.5164	2911
进步	   -4.5165	2912
毒病	   -4.5168	2913
升级	   -4.5169	2914
虚拟	   -4.5171	2915
缩写	   -4.5176	2916
都府	   -4.5178	2917
珍妮	   -4.5181	2918
曼谷	   -4.5182	2919
浪网	   -4.5185	2920
安纳	   -4.5187	2921
巴哈	   -4.5193	2922
现实	   -4.5193	2923
原理	   -4.5194	2924
儒略	   -4.5194	2925
月底	   -4.5196	2926
丰富	   -4.5200	2927
真实	   -4.5201	2928
左翼	   -4.5202	2929
保定	   -4.5203	2930
时任	   -4.5203	2931
围棋	   -4.5208	2932
军衔	   -4.5213	2933
他还	   -4.5214	2934
普鲁	   -4.5215	2935
足联	   -4.5223	2936
藏族	   -4.5227	2937
茨基	   -4.5228	2938
安排	   -4.5228	2939
论坛	   -4.5229	2940
蜘蛛	   -4.5230	2941
启动	   -4.5232	2942
活跃	   -4.5232	2943
米至	   -4.5232	2944
被迫	   -4.5233	2945
只要	   -4.5235	2946
马萨	   -4.5236	2947
划代	   -4.5242	2948
简体	   -4.5244	2949
街社	   -4.5244	2950
雅各	   -4.5245	2951
二期	   -4.5246	2952
啤酒	   -4.5246	2953
直径	   -4.5247	2954
布飘	   -4.5251	2955
变种	   -4.5251	2956
运河	   -4.5256	2957
题材	   -4.5256	2958
视网	   -4.5259	2959
普森	   -4.5263	2960
港配	   -4.5264	2961
明尼	   -4.5268	2962
琉球	   -4.5268	2963
器时	   -4.5275	2964
占庭	   -4.5278	2965
列宁	   -4.5285	2966
举考	   -4.5289	2967
经典	   -4.5290	2968
待查	   -4.5291	2969
绍兴	   -4.5292	2970
吸引	   -4.5293	2971
伦堡	   -4.5294	2972
权限	   -4.5295	2973
万历	   -4.5297	2974
数码	   -4.5299	2975
藏自	   -4.5300	2976
贡举	   -4.5307	2977
白金	   -4.5310	2978
强烈	   -4.5314	2979
入党	   -4.5321	2980
协调	   -4.5322	2981
各类	   -4.5324	2982
化遗	   -4.5326	2983
残疾	   -4.5333	2984
机制	   -4.5334	2985
阁下	   -4.5338	2986
二等	   -4.5338	2987
审判	   -4.5339	2988
代史	   -4.5341	2989
前任	   -4.5343	2990
剧场	   -4.5345	2991
乃木	   -4.5345	2992
由泳	   -4.5346	2993
接任	   -4.5347	2994
提及	   -4.5356	2995
示牌	   -4.5366	2996
业技	   -4.5366	2997
也没	   -4.5369	2998
突厥	   -4.5370	2999
明贡	   -4.5374	3000
喷气	   -4.5376	3001
改回	   -4.5376	3002
三甲	   -4.5376	3003
匹配	   -4.5377	3004
友谊	   -4.5377	3005
类别	   -4.5380	3006
四届	   -4.5386	3007
展览	   -4.5387	3008
报纸	   -4.5391	3009
茵兰	   -4.5392	3010
扩充	   -4.5393	3011
松江	   -4.5396	3012
布兰	   -4.5399	3013
资金	   -4.5401	3014
房屋	   -4.5401	3015
性能	   -4.5403	3016
概况	   -4.5403	3017
威胁	   -4.5408	3018
通鉴	   -4.5408	3019
就任	   -4.5408	3020
即位	   -4.5410	3021
私立	   -4.5414	3022
任教	   -4.5415	3023
工艺	   -4.5416	3024
久保	   -4.5418	3025
两次	   -4.5418	3026
太宗	   -4.5424	3027
座城	   -4.5424	3028
价格	   -4.5426	3029
鲁木	   -4.5431	3030
类社	   -4.5436	3031
培训	   -4.5437	3032
映画	   -4.5437	3033
氯化	   -4.5438	3034
效应	   -4.5442	3035
划史	   -4.5445	3036
停车	   -4.5445	3037
轰炸	   -4.5446	3038
保守	   -4.5448	3039
投手	   -4.5453	3040
商品	   -4.5455	3041
交换	   -4.5456	3042
无线	   -4.5458	3043
八届	   -4.5458	3044
东莞	   -4.5460	3045
班次	   -4.5460	3046
藤原	   -4.5461	3047
奥古	   -4.5462	3048
已设	   -4.5464	3049
原住	   -4.5470	3050
四库	   -4.5473	3051
下水	   -4.5474	3052
木齐	   -4.5474	3053
勒比	   -4.5478	3054
污染	   -4.5478	3055
索引	   -4.5479	3056
维持	   -4.5482	3057
冒险	   -4.5482	3058
抵达	   -4.5493	3059
嘎查	   -4.5493	3060
保安	   -4.5493	3061
累计	   -4.5495	3062
欧元	   -4.5498	3063
指数	   -4.5498	3064
铜牌	   -4.5499	3065
放弃	   -4.5505	3066
识别	   -4.5506	3067
绝灭	   -4.5508	3068
女配	   -4.5512	3069
莱恩	   -4.5514	3070
丽江	   -4.5515	3071
福音	   -4.5518	3072
前锋	   -4.5518	3073
指示	   -4.5520	3074
磷酸	   -4.5520	3075
依然	   -4.5522	3076
团长	   -4.5522	3077
按察	   -4.5523	3078
浦东	   -4.5526	3079
玫瑰	   -4.5528	3080
挑战	   -4.5528	3081
序字	   -4.5540	3082
众多	   -4.5541	3083
他曾	   -4.5542	3084
线电	   -4.5552	3085
治通	   -4.5555	3086
周期	   -4.5556	3087
耶维	   -4.5557	3088
循环	   -4.5561	3089
边境	   -4.5563	3090
军总	   -4.5563	3091
自我	   -4.5566	3092
竣工	   -4.5567	3093
男配	   -4.5569	3094
标签	   -4.5576	3095
圣经	   -4.5577	3096
士尼	   -4.5579	3097
关键	   -4.5581	3098
无风	   -4.5582	3099
相应	   -4.5583	3100
意外	   -4.5585	3101
罗那	   -4.5587	3102
弗洛	   -4.5587	3103
重量	   -4.5587	3104
长夜	   -4.5593	3105
军团	   -4.5598	3106
抗议	   -4.5598	3107
需求	   -4.5601	3108
支队	   -4.5603	3109
岛屿	   -4.5605	3110
明确	   -4.5608	3111
景电	   -4.5610	3112
摇滚	   -4.5610	3113
声明	   -4.5611	3114
斗争	   -4.5613	3115
英吋	   -4.5613	3116
通话	   -4.5614	3117
程院	   -4.5620	3118
医药	   -4.5621	3119
紧急	   -4.5621	3120
而得	   -4.5628	3121
迪士	   -4.5629	3122
他被	   -4.5631	3123
序列	   -4.5631	3124
周围	   -4.5636	3125
夜无	   -4.5636	3126
集体	   -4.5637	3127
典型	   -4.5637	3128
史研	   -4.5641	3129
木坂	   -4.5641	3130
发售	   -4.5642	3131
