word	log10(p)	rank	dependance	use fraction	other use fraction
一般	   -3.7658	477	  156.8564	    0.0196	    0.8303
一世	   -3.8006	537	   10.8023	    0.0181	    0.0572
一座	   -3.8103	551	   41.5767	    0.0177	    0.2201
这一	   -3.8107	552	   17.0616	    0.0177	    0.0903
一位	   -3.8126	558	   12.0609	    0.0176	    0.0638
一起	   -3.9332	808	   20.3880	    0.0133	    0.1079
一直	   -3.9558	866	   24.5309	    0.0127	    0.1298
一至	   -4.0070	985	    9.3749	    0.0113	    0.0496
另一	   -4.0216	1018	   45.2692	    0.0109	    0.2396
统一	   -4.0484	1089	   12.6896	    0.0102	    0.0672

word	log10(p)	rank	dependance	use fraction	other use fraction
斯	   -2.2464
斯特	   -3.3001	107	   25.0085	    0.0688	    0.1103
罗斯	   -3.4687	178	   29.3737	    0.0466	    0.1296
里斯	   -3.4983	203	   16.4716	    0.0436	    0.0727
克斯	   -3.5084	206	   17.1467	    0.0426	    0.0756
拉斯	   -3.5536	243	   16.3420	    0.0384	    0.0721
斯坦	   -3.5685	257	  120.3496	    0.0371	    0.5310
斯科	   -3.6874	374	   12.2972	    0.0282	    0.0543
姆斯	   -3.6890	375	   50.9944	    0.0281	    0.2250
尔斯	   -3.6961	384	    8.2685	    0.0276	    0.0365
斯蒂	   -3.7841	510	   53.5777	    0.0226	    0.2364
伊斯	   -3.8094	547	   25.7389	    0.0213	    0.1136
斯基	   -3.8213	573	   11.7536	    0.0207	    0.0519
奥斯	   -3.8376	600	   22.9320	    0.0199	    0.1012
尼斯	   -3.8424	608	   13.8418	    0.0197	    0.0611
斯卡	   -3.8648	642	   15.8417	    0.0187	    0.0699
斯塔	   -3.8784	665	   26.6720	    0.0182	    0.1177
卡斯	   -3.9110	752	   14.2437	    0.0168	    0.0628
斯托	   -3.9184	771	   34.8104	    0.0166	    0.1536
莫斯	   -3.9477	842	   40.5855	    0.0155	    0.1791
雷斯	   -3.9621	879	   22.0705	    0.0150	    0.0974
利斯	   -3.9649	884	    7.2266	    0.0149	    0.0319
斯克	   -3.9976	965	    5.5592	    0.0138	    0.0245
易斯	   -4.0018	973	   38.4843	    0.0137	    0.1698
斯拉	   -4.0141	998	    5.6597	    0.0133	    0.0250
德斯	   -4.0271	1032	    5.0297	    0.0129	    0.0222
巴斯	   -4.0555	1109	    8.8185	    0.0121	    0.0389
夫斯	   -4.0602	1121	   12.5826	    0.0119	    0.0555
斯堡	   -4.0911	1196	   31.7958	    0.0111	    0.1403
斯兰	   -4.0958	1210	   11.7428	    0.0110	    0.0518
勒斯	   -4.1045	1229	   16.7331	    0.0108	    0.0738
基斯	   -4.1076	1236	    6.0803	    0.0107	    0.0268
洛斯	   -4.1077	1237	   15.1022	    0.0107	    0.0666
马斯	   -4.1333	1324	    6.4245	    0.0101	    0.0283

word	log10(p)	rank	dependance	use fraction	other use fraction
为	   -2.2841
记为	   -3.0850	48	  117.6563	    0.1231	    0.4759
为失	   -3.0879	49	  171.8571	    0.1223	    0.6952
容为	   -3.1979	71	  127.3293	    0.0949	    0.5150
成为	   -3.4445	162	   23.2212	    0.0538	    0.0939
认为	   -3.5095	210	  117.5422	    0.0463	    0.4755
作为	   -3.5615	250	   21.1613	    0.0411	    0.0856
因为	   -3.6391	328	   41.3123	    0.0344	    0.1671
称为	   -3.7204	416	   36.5331	    0.0285	    0.1478
名为	   -3.7787	500	    8.2317	    0.0249	    0.0333
为了	   -3.7845	512	   12.2932	    0.0246	    0.0497
改为	   -3.8949	709	   31.2301	    0.0191	    0.1263
口为	   -3.9473	841	   11.3807	    0.0169	    0.0460
为主	   -4.0437	1081	    5.5573	    0.0135	    0.0225
分为	   -4.0887	1191	    6.4368	    0.0122	    0.0260

word	log10(p)	rank	dependance	use fraction	other use fraction
行	   -2.2866
行星	   -2.5930	1	  153.9616	    0.3843	    0.6191
小行	   -2.5995	2	  108.4616	    0.3786	    0.4362
行政	   -2.8641	11	   82.1126	    0.2059	    0.3302
进行	   -3.3970	140	   77.9811	    0.0603	    0.3136
级行	   -3.4946	200	   48.4736	    0.0482	    0.1949
银行	   -3.7751	494	  114.3901	    0.0253	    0.4600
执行	   -3.8017	538	  147.7229	    0.0238	    0.5941
发行	   -3.8530	622	   16.0658	    0.0211	    0.0646
举行	   -3.8956	710	   60.6986	    0.0191	    0.2441
行动	   -3.9248	788	   10.2366	    0.0179	    0.0412
运行	   -4.0419	1074	   12.9885	    0.0137	    0.0522
流行	   -4.0505	1097	   21.8162	    0.0134	    0.0877
行了	   -4.0620	1126	    6.5268	    0.0131	    0.0262
飞行	   -4.0697	1144	   55.0281	    0.0128	    0.2213

word	log10(p)	rank	dependance	use fraction	other use fraction
在	   -2.2968
现在	   -3.5160	218	   60.8720	    0.0470	    0.2391
存在	   -3.6966	386	   65.7348	    0.0310	    0.2582
所在	   -3.7002	390	   26.6501	    0.0307	    0.1047
在由	   -3.7814	505	   21.3731	    0.0255	    0.0840
是在	   -3.7860	514	    7.4406	    0.0252	    0.0292
他在	   -3.8769	660	   14.2741	    0.0205	    0.0561
在地	   -3.8799	667	    6.1328	    0.0203	    0.0241
日在	   -3.8901	692	    6.2757	    0.0199	    0.0247
