word	log10(p)	rank	dependance	use fraction	other use fraction
春轨	   -5.1871	5962	   53.2222	    0.0103	    0.0202

word	log10(p)	rank	dependance	use fraction	other use fraction
祖	   -3.3109
佛祖	   -3.9451	835	  436.7926	    0.1806	    0.1661
祖西	   -3.9531	859	   56.7188	    0.1774	    0.0216
祖父	   -3.9838	934	  603.3686	    0.1653	    0.2294
曾祖	   -4.1571	1411	  225.1797	    0.1109	    0.0856
高祖	   -4.4326	2500	   29.2710	    0.0588	    0.0111
太祖	   -4.4747	2700	   54.1543	    0.0534	    0.0206
祖母	   -4.5048	2858	  149.7800	    0.0498	    0.0570
祖籍	   -4.7498	4040	  142.1347	    0.0283	    0.0540
祖先	   -4.7945	4241	   72.0406	    0.0256	    0.0274
始祖	   -5.0141	5224	   38.8187	    0.0154	    0.0148

word	log10(p)	rank	dependance	use fraction	other use fraction
节	   -3.3112
节目	   -3.8098	549	  187.3393	    0.2469	    0.0712
影节	   -4.4462	2559	   64.0077	    0.0570	    0.0243
节度	   -4.4567	2610	   36.1690	    0.0557	    0.0137
视节	   -4.4621	2634	   69.6445	    0.0550	    0.0265
字节	   -4.6476	3562	   49.6293	    0.0359	    0.0189
章节	   -4.6890	3753	   91.8229	    0.0326	    0.0349
情节	   -4.7724	4149	   55.8482	    0.0269	    0.0212
节点	   -4.8332	4429	   40.4048	    0.0234	    0.0154
细节	   -4.8362	4444	  146.1789	    0.0232	    0.0555
季节	   -4.8566	4544	   28.1640	    0.0222	    0.0107
调节	   -4.8751	4642	   65.7048	    0.0212	    0.0250
节奏	   -4.9061	4784	  284.8196	    0.0198	    0.1082
节假	   -4.9540	4991	  109.5753	    0.0177	    0.0416
春节	   -4.9761	5072	   44.2494	    0.0168	    0.0168
艺节	   -5.0793	5527	   47.7095	    0.0133	    0.0181
环节	   -5.0951	5608	   40.3295	    0.0128	    0.0153

word	log10(p)	rank	dependance	use fraction	other use fraction
景	   -3.3137
背景	   -3.9132	758	 1481.9416	    0.1956	    0.5600
景观	   -4.2740	1823	  298.4630	    0.0853	    0.1128
风景	   -4.4724	2685	  113.9562	    0.0540	    0.0431
景电	   -4.5610	3112	   33.9506	    0.0440	    0.0128
景点	   -4.6690	3671	   59.3029	    0.0343	    0.0224
游景	   -4.6864	3742	   61.0957	    0.0330	    0.0231
取景	   -4.7333	3961	   81.9150	    0.0296	    0.0310
场景	   -4.8256	4388	   27.5568	    0.0239	    0.0104
景泰	   -4.8564	4543	   50.1495	    0.0223	    0.0189
情景	   -5.0686	5478	   28.3925	    0.0137	    0.0107

word	log10(p)	rank	dependance	use fraction	other use fraction
获	   -3.3141
获得	   -3.4497	168	  578.5386	    0.5695	    0.2184
获奖	   -4.3412	2104	  150.9598	    0.0731	    0.0570
奖获	   -4.4794	2723	  109.8011	    0.0532	    0.0414
章获	   -4.7074	3843	   88.5931	    0.0315	    0.0334
获取	   -4.7645	4111	   76.2968	    0.0276	    0.0288
获胜	   -4.8109	4307	  139.3481	    0.0248	    0.0526
荣获	   -4.8757	4645	  131.3090	    0.0213	    0.0496
曾获	   -4.9189	4834	   39.2612	    0.0193	    0.0148
收获	   -5.0403	5345	   50.5940	    0.0146	    0.0191

word	log10(p)	rank	dependance	use fraction	other use fraction
造	   -3.3169
造成	   -3.9162	764	   84.5237	    0.1958	    0.0317
制造	   -4.0199	1014	  171.4857	    0.1542	    0.0643
建造	   -4.1275	1301	   62.8812	    0.1203	    0.0236
改造	   -4.2581	1755	  145.9405	    0.0891	    0.0547
创造	   -4.4196	2450	  180.3494	    0.0614	    0.0676
构造	   -4.7129	3869	   93.3235	    0.0313	    0.0350
打造	   -4.7704	4140	   86.9315	    0.0274	    0.0326
造船	   -4.7720	4145	  154.2905	    0.0273	    0.0579
造型	   -4.7944	4240	   44.4546	    0.0259	    0.0167
造像	   -4.8452	4487	   64.2720	    0.0231	    0.0241
造商	   -4.9052	4777	   46.2735	    0.0201	    0.0174
铸造	   -5.0114	5210	  613.1715	    0.0157	    0.2300
造厂	   -5.0320	5305	  106.1184	    0.0150	    0.0398
造反	   -5.1028	5640	   28.0757	    0.0127	    0.0105

word	log10(p)	rank	dependance	use fraction	other use fraction
丁	   -3.3181
拉丁	   -4.1292	1308	   51.2068	    0.1202	    0.0192
丁目	   -4.2585	1757	   67.7140	    0.0892	    0.0253
马丁	   -4.2658	1787	   55.8451	    0.0878	    0.0209
坦丁	   -4.4630	2639	  180.9784	    0.0557	    0.0677
丁堡	   -4.6660	3659	   99.8207	    0.0349	    0.0373
丁字	   -4.7790	4175	   37.2535	    0.0269	    0.0139
丁泉	   -4.8429	4474	  110.3641	    0.0232	    0.0413
爱丁	   -5.0000	5159	   46.3250	    0.0162	    0.0173
诺丁	   -5.0691	5481	   30.6553	    0.0138	    0.0115
丁未	   -5.0976	5622	   30.1672	    0.0129	    0.0113
丁丑	   -5.1323	5749	  304.2659	    0.0119	    0.1138

word	log10(p)	rank	dependance	use fraction	other use fraction
超	   -3.3186
超过	   -3.8970	712	  271.2177	    0.2054	    0.1013
超级	   -4.0025	977	  162.0287	    0.1611	    0.0605
球超	   -4.4997	2835	   35.7131	    0.0513	    0.0133
超越	   -4.6066	3341	  121.0765	    0.0401	    0.0452
英超	   -4.6924	3773	   30.5935	    0.0329	    0.0114

word	log10(p)	rank	dependance	use fraction	other use fraction
济	   -3.3188
经济	   -3.4064	148	  721.2403	    0.6359	    0.2694
济南	   -4.1597	1418	   44.1345	    0.1122	    0.0165
济网	   -4.6982	3796	   34.3961	    0.0325	    0.0128
济技	   -4.8743	4636	   51.6759	    0.0216	    0.0193
济宁	   -4.9967	5147	   34.5524	    0.0163	    0.0129
济耶	   -5.0778	5516	   47.8932	    0.0136	    0.0179

word	log10(p)	rank	dependance	use fraction	other use fraction
还	   -3.3190
还有	   -3.9300	800	   63.3328	    0.1906	    0.0236
还是	   -3.9967	964	   48.2004	    0.1634	    0.0180
他还	   -4.5214	2934	   34.0536	    0.0488	    0.0127
还原	   -4.6870	3747	   28.2749	    0.0333	    0.0106
还没	   -4.8057	4284	   72.8703	    0.0254	    0.0272
还包	   -4.9034	4774	   40.1027	    0.0203	    0.0150
还曾	   -5.0487	5380	   29.4428	    0.0145	    0.0110
们还	   -5.1148	5686	   28.9012	    0.0125	    0.0108
归还	   -5.1754	5913	   74.3116	    0.0108	    0.0277

word	log10(p)	rank	dependance	use fraction	other use fraction
桥	   -3.3199
大桥	   -4.0266	1030	   28.8306	    0.1529	    0.0107
桥村	   -4.2504	1728	   31.3353	    0.0913	    0.0117
桥梁	   -4.4324	2499	  252.8215	    0.0600	    0.0942
桥镇	   -4.6108	3365	   28.1061	    0.0398	    0.0105
剑桥	   -4.6350	3507	  393.0094	    0.0377	    0.1464
虹桥	   -4.7579	4068	  474.8859	    0.0284	    0.1769
石桥	   -4.8906	4707	   27.9827	    0.0209	    0.0104
桥街	   -4.9586	5015	   27.7569	    0.0179	    0.0103
桥头	   -5.0305	5296	   43.1885	    0.0151	    0.0161

word	log10(p)	rank	dependance	use fraction	other use fraction
身	   -3.3206
身份	   -4.0921	1202	  275.4078	    0.1317	    0.1024
身高	   -4.2275	1638	   47.9955	    0.0964	    0.0178
前身	   -4.2431	1703	   78.4440	    0.0930	    0.0292
本身	   -4.3832	2293	   28.2461	    0.0674	    0.0105
身体	   -4.5993	3297	   39.2601	    0.0410	    0.0146
自身	   -4.6028	3321	   27.9495	    0.0406	    0.0104
身亡	   -4.6181	3408	  217.2395	    0.0392	    0.0808
终身	   -4.8058	4285	  127.7577	    0.0255	    0.0475
健身	   -4.9561	5003	  105.6525	    0.0180	    0.0393
身攻	   -4.9693	5053	   84.3038	    0.0175	    0.0313
身边	   -5.0467	5374	   59.7880	    0.0146	    0.0222
身材	   -5.1694	5895	   95.6265	    0.0110	    0.0356

word	log10(p)	rank	dependance	use fraction	other use fraction
居	   -3.3211
居民	   -3.8388	603	  102.2985	    0.2362	    0.0380
居住	   -4.1452	1360	  519.7907	    0.1167	    0.1931
故居	   -4.4480	2567	  183.5359	    0.0581	    0.0682
居委	   -4.4710	2679	   52.5450	    0.0551	    0.0195
定居	   -4.5706	3162	   43.2518	    0.0438	    0.0161
聚居	   -4.6628	3644	  302.0860	    0.0354	    0.1122
移居	   -4.9215	4849	   35.1497	    0.0195	    0.0131
旧居	   -4.9838	5102	   96.8941	    0.0169	    0.0360

word	log10(p)	rank	dependance	use fraction	other use fraction
洋	   -3.3218
平洋	   -3.9777	917	   82.8038	    0.1718	    0.0307
西洋	   -3.9857	939	   53.9505	    0.1687	    0.0200
海洋	   -4.1758	1465	   51.5804	    0.1089	    0.0191
洋舰	   -4.3593	2203	  372.2511	    0.0714	    0.1381
巡洋	   -4.3871	2314	  352.0636	    0.0669	    0.1306
洋飓	   -4.5720	3168	  669.7425	    0.0437	    0.2484
洋洲	   -4.6216	3435	   53.1330	    0.0390	    0.0197
冰洋	   -5.1756	5914	   72.0760	    0.0109	    0.0267

word	log10(p)	rank	dependance	use fraction	other use fraction
土	   -3.3225
土耳	   -4.0685	1140	  914.4839	    0.1396	    0.3386
土地	   -4.0837	1174	   40.6856	    0.1348	    0.0151
领土	   -4.5040	2855	  124.6195	    0.0512	    0.0461
土木	   -4.7240	3924	   63.2235	    0.0309	    0.0234
凝土	   -4.7476	4024	  970.0206	    0.0292	    0.3592
土壤	   -4.7887	4218	  840.1047	    0.0266	    0.3111
土库	   -5.0789	5524	   33.0574	    0.0136	    0.0122
黄土	   -5.1210	5711	   27.1427	    0.0124	    0.0101

word	log10(p)	rank	dependance	use fraction	other use fraction
播	   -3.3235
广播	   -3.9827	930	  201.7883	    0.1705	    0.0745
首播	   -4.0426	1077	  224.8523	    0.1486	    0.0831
播放	   -4.0492	1093	  252.8495	    0.1463	    0.0934
重播	   -4.2516	1734	   99.4137	    0.0918	    0.0367
传播	   -4.3403	2099	  131.7144	    0.0749	    0.0487
播映	   -4.4191	2448	  383.2504	    0.0624	    0.1416
直播	   -4.4344	2509	  116.7793	    0.0603	    0.0431
停播	   -4.6948	3783	  178.3924	    0.0331	    0.0659
待播	   -5.1032	5643	  111.3919	    0.0129	    0.0412
转播	   -5.1519	5831	   40.7011	    0.0116	    0.0150

word	log10(p)	rank	dependance	use fraction	other use fraction
典	   -3.3236
瑞典	   -3.9920	957	  400.0078	    0.1670	    0.1477
典范	   -4.1224	1283	  391.4536	    0.1236	    0.1446
辞典	   -4.2380	1684	 1214.9167	    0.0948	    0.4487
词典	   -4.3964	2358	  338.5369	    0.0658	    0.1250
古典	   -4.4005	2377	   71.6841	    0.0652	    0.0265
雅典	   -4.4938	2797	  160.5188	    0.0526	    0.0593
经典	   -4.5290	2968	   54.9993	    0.0485	    0.0203
典型	   -4.5637	3128	   76.7931	    0.0448	    0.0284
典礼	   -4.6181	3409	  292.2960	    0.0395	    0.1080
盛典	   -4.8529	4527	  142.2477	    0.0230	    0.0525
奖典	   -4.9194	4838	   40.7515	    0.0197	    0.0151
典籍	   -5.1058	5655	   64.4743	    0.0128	    0.0238
庆典	   -5.1429	5789	   42.4343	    0.0118	    0.0157

word	log10(p)	rank	dependance	use fraction	other use fraction
陆	   -3.3274
大陆	   -3.5583	247	   86.2314	    0.4572	    0.0316
陆军	   -3.9448	833	  117.4152	    0.1878	    0.0430
军陆	   -4.4072	2405	   40.4811	    0.0647	    0.0148
登陆	   -4.4413	2540	  165.4703	    0.0599	    0.0606
陆续	   -4.9145	4815	  107.2571	    0.0201	    0.0393
着陆	   -5.0388	5337	   65.5695	    0.0151	    0.0240

word	log10(p)	rank	dependance	use fraction	other use fraction
贝	   -3.3278
贝尔	   -3.7855	513	   81.1681	    0.2712	    0.0297
诺贝	   -4.3814	2286	  152.7317	    0.0688	    0.0559
贝格	   -4.3965	2362	   53.9424	    0.0664	    0.0197
宝贝	   -4.8204	4355	  103.5548	    0.0250	    0.0379
贝勒	   -4.9415	4932	   29.3691	    0.0189	    0.0107
莎贝	   -4.9559	5002	  134.4296	    0.0183	    0.0492
伦贝	   -4.9568	5007	   45.9730	    0.0183	    0.0168
贝蒂	   -4.9950	5138	   39.7634	    0.0167	    0.0145
贝库	   -5.0534	5400	   35.4857	    0.0146	    0.0130
贝托	   -5.0798	5530	   28.9531	    0.0138	    0.0106
坎贝	   -5.0848	5556	  160.6131	    0.0136	    0.0588
滕贝	   -5.2137	6066	  191.0881	    0.0101	    0.0699

word	log10(p)	rank	dependance	use fraction	other use fraction
职	   -3.3289
职业	   -3.7631	474	  300.7547	    0.2863	    0.1097
职务	   -4.1163	1259	  197.3783	    0.1269	    0.0720
职位	   -4.3462	2132	   51.2199	    0.0748	    0.0187
等职	   -4.5720	3167	   42.4653	    0.0445	    0.0155
任职	   -4.5950	3278	   32.8034	    0.0422	    0.0120
职工	   -4.6544	3611	   27.7155	    0.0368	    0.0101
辞职	   -4.6991	3801	  425.4299	    0.0332	    0.1552
职责	   -4.8297	4413	  173.1555	    0.0246	    0.0632
各职	   -4.9244	4861	   31.2900	    0.0197	    0.0114
就职	   -5.0520	5393	   29.5537	    0.0147	    0.0108
兼职	   -5.2044	6030	   78.6214	    0.0104	    0.0287

word	log10(p)	rank	dependance	use fraction	other use fraction
永	   -3.3290
永久	   -4.4353	2514	  315.6396	    0.0609	    0.1151
永乐	   -4.7209	3904	   35.1148	    0.0316	    0.0128
永远	   -4.7287	3944	  191.1354	    0.0310	    0.0697
永康	   -4.7555	4061	   70.7188	    0.0291	    0.0258
永昌	   -4.8435	4478	   85.6187	    0.0238	    0.0312
永兴	   -4.9850	5105	   52.0990	    0.0172	    0.0190
永嘉	   -5.0061	5185	   57.9281	    0.0164	    0.0211
永宁	   -5.0443	5364	   31.7078	    0.0150	    0.0116
永泰	   -5.0893	5583	   30.3823	    0.0135	    0.0111
永丰	   -5.1043	5651	   87.7623	    0.0131	    0.0320
永恒	   -5.1499	5827	  110.6884	    0.0118	    0.0404
永井	   -5.2018	6018	   41.9838	    0.0104	    0.0153

word	log10(p)	rank	dependance	use fraction	other use fraction
引	   -3.3317
引擎	   -4.0600	1120	 2592.6893	    0.1454	    0.9400
引用	   -4.0642	1131	   62.2158	    0.1440	    0.0226
引起	   -4.2943	1917	  129.6014	    0.0848	    0.0470
引发	   -4.4189	2445	   48.4217	    0.0636	    0.0176
引种	   -4.4638	2643	   85.9988	    0.0574	    0.0312
工引	   -4.4746	2698	   42.1993	    0.0560	    0.0153
引入	   -4.4941	2801	   61.2819	    0.0535	    0.0222
牵引	   -4.5020	2847	 1728.1037	    0.0526	    0.6265
吸引	   -4.5293	2971	  598.3671	    0.0494	    0.2169
索引	   -4.5479	3056	   67.0215	    0.0473	    0.0243
引力	   -4.6187	3415	   49.4259	    0.0402	    0.0179
指引	   -4.6228	3446	   82.7132	    0.0398	    0.0300
引进	   -4.8135	4320	   33.1494	    0.0257	    0.0120
引见	   -5.0146	5230	   34.5835	    0.0161	    0.0125
引导	   -5.0156	5234	   41.5505	    0.0161	    0.0151

word	log10(p)	rank	dependance	use fraction	other use fraction
松	   -3.3323
松江	   -4.5396	3012	   40.3198	    0.0483	    0.0146
松井	   -4.8080	4292	  104.7665	    0.0260	    0.0379
松竹	   -5.0689	5480	   93.1063	    0.0143	    0.0337
松浦	   -5.1176	5701	   75.8809	    0.0128	    0.0275
松鼠	   -5.1269	5732	  209.4059	    0.0125	    0.0758
松照	   -5.1718	5900	   48.0406	    0.0113	    0.0174
松尾	   -5.2226	6100	   64.4341	    0.0100	    0.0233

word	log10(p)	rank	dependance	use fraction	other use fraction
登	   -3.3326
登录	   -4.2396	1692	  278.7059	    0.0964	    0.1008
登科	   -4.3943	2348	   29.4567	    0.0675	    0.0107
登陆	   -4.4413	2540	  165.4703	    0.0606	    0.0599
巴登	   -4.4630	2640	   42.0812	    0.0576	    0.0152
登堡	   -4.6500	3585	  107.0862	    0.0375	    0.0387
登记	   -4.7108	3858	   31.1395	    0.0326	    0.0113
登场	   -4.7262	3935	   36.1930	    0.0314	    0.0131
兰登	   -4.7498	4041	   31.7705	    0.0298	    0.0115
戈登	   -4.8381	4454	  126.1867	    0.0243	    0.0456
刊登	   -4.9321	4890	  102.3812	    0.0196	    0.0370
拜登	   -5.1333	5753	   83.5341	    0.0123	    0.0302

word	log10(p)	rank	dependance	use fraction	other use fraction
取	   -3.3329
取消	   -4.0432	1079	  498.2315	    0.1516	    0.1801
取得	   -4.0610	1123	  147.8440	    0.1455	    0.0534
取代	   -4.1192	1273	   89.0662	    0.1273	    0.0322
采取	   -4.5006	2839	  322.7893	    0.0529	    0.1167
快取	   -4.7021	3814	  117.1162	    0.0333	    0.0423
取景	   -4.7333	3961	   81.9150	    0.0310	    0.0296
获取	   -4.7645	4111	   76.2968	    0.0288	    0.0276
争取	   -4.7898	4221	   84.0673	    0.0272	    0.0304
夺取	   -4.9141	4812	  325.5024	    0.0204	    0.1177
取决	   -5.0762	5508	   45.5832	    0.0141	    0.0165
录取	   -5.1140	5683	   37.2429	    0.0129	    0.0135
萃取	   -5.2036	6026	 1304.5842	    0.0105	    0.4716

word	log10(p)	rank	dependance	use fraction	other use fraction
深	   -3.3342
深圳	   -3.7378	436	 2652.0713	    0.3072	    0.9559
深度	   -4.3450	2126	   49.3042	    0.0759	    0.0178
水深	   -4.5825	3216	   43.1205	    0.0439	    0.0155
深夜	   -4.6541	3609	  195.2804	    0.0373	    0.0704
深入	   -4.7481	4027	   34.3487	    0.0300	    0.0124
深深	   -4.8531	4532	   65.3447	    0.0236	    0.0236
周深	   -4.9933	5134	   28.5549	    0.0171	    0.0103
深刻	   -5.0377	5332	  133.2972	    0.0154	    0.0480
均深	   -5.0938	5604	   57.9219	    0.0135	    0.0209
深受	   -5.1130	5680	   31.6425	    0.0129	    0.0114

word	log10(p)	rank	dependance	use fraction	other use fraction
排	   -3.3345
排名	   -3.6236	308	  132.1222	    0.3998	    0.0476
排序	   -4.3668	2236	  378.8877	    0.0722	    0.1365
排球	   -4.4581	2619	   40.7703	    0.0585	    0.0147
安排	   -4.5228	2939	   29.6503	    0.0504	    0.0107
排版	   -4.6362	3511	   61.3656	    0.0388	    0.0221
界排	   -4.6918	3771	   49.7106	    0.0342	    0.0179
排列	   -4.7201	3900	   38.0869	    0.0320	    0.0137

word	log10(p)	rank	dependance	use fraction	other use fraction
像	   -3.3363
图像	   -3.9456	836	  203.3040	    0.1913	    0.0729
像素	   -4.2046	1556	  395.2396	    0.1054	    0.1418
偶像	   -4.3621	2211	  622.8175	    0.0733	    0.2234
金像	   -4.5959	3282	   34.2712	    0.0428	    0.0123
像奖	   -4.6010	3311	   87.3503	    0.0423	    0.0313
画像	   -4.6603	3642	  126.4915	    0.0369	    0.0454
影像	   -4.6821	3724	   39.3889	    0.0351	    0.0141
肖像	   -4.7028	3823	  450.4952	    0.0335	    0.1616
雕像	   -4.7470	4020	  527.8142	    0.0302	    0.1893
就像	   -4.7657	4120	   58.1139	    0.0289	    0.0208
好像	   -4.7992	4262	   68.5976	    0.0268	    0.0246
造像	   -4.8452	4487	   64.2720	    0.0241	    0.0231
映像	   -4.8531	4530	  145.3008	    0.0237	    0.0521
像说	   -4.9032	4771	   41.8911	    0.0211	    0.0150
录像	   -5.0450	5368	   43.9975	    0.0152	    0.0158
摄像	   -5.0501	5384	  136.5728	    0.0150	    0.0490
塑像	   -5.1202	5709	  317.6100	    0.0128	    0.1139
佛像	   -5.1351	5760	   29.8987	    0.0124	    0.0107

word	log10(p)	rank	dependance	use fraction	other use fraction
皇	   -3.3375
皇帝	   -3.8614	635	  528.2793	    0.2329	    0.1890
皇家	   -4.0491	1092	   61.2645	    0.1511	    0.0219
天皇	   -4.2135	1590	   58.2607	    0.1035	    0.0208
皇明	   -4.4686	2664	   38.3803	    0.0575	    0.0137
皇室	   -4.7600	4083	   85.7735	    0.0294	    0.0307
秦皇	   -4.9035	4775	  141.0014	    0.0211	    0.0504
皇岛	   -4.9331	4894	   43.0172	    0.0197	    0.0154
始皇	   -4.9428	4938	   48.6282	    0.0193	    0.0174
玉皇	   -4.9800	5091	   64.8049	    0.0177	    0.0232
皇冠	   -5.0630	5453	   57.6848	    0.0146	    0.0206
皇甫	   -5.1156	5689	  313.6041	    0.0130	    0.1122
皇宫	   -5.1986	6006	   64.9781	    0.0107	    0.0232

word	log10(p)	rank	dependance	use fraction	other use fraction
帕	   -3.3382
帕洛	   -3.8994	720	  301.4267	    0.2137	    0.1076
帕蒂	   -5.1363	5766	   29.4153	    0.0124	    0.0105

word	log10(p)	rank	dependance	use fraction	other use fraction
限	   -3.3390
有限	   -3.4978	202	  179.3779	    0.5397	    0.0639
限公	   -3.5758	264	  129.8050	    0.4510	    0.0463
限制	   -4.1692	1443	  127.9237	    0.1150	    0.0456
无限	   -4.3450	2125	  132.4350	    0.0767	    0.0472
限期	   -4.3786	2275	   55.1860	    0.0710	    0.0197
权限	   -4.5295	2973	   94.1242	    0.0502	    0.0336
限定	   -4.5670	3144	   45.4482	    0.0460	    0.0162
限责	   -4.6853	3738	  247.1212	    0.0351	    0.0881
受限	   -5.0151	5232	   40.0836	    0.0164	    0.0143
仅限	   -5.0841	5552	   76.2996	    0.0140	    0.0272
只限	   -5.1786	5930	   32.0859	    0.0113	    0.0114

word	log10(p)	rank	dependance	use fraction	other use fraction
些	   -3.3405
一些	   -3.6607	353	   70.3153	    0.3722	    0.0250
这些	   -3.7016	395	  326.8260	    0.3388	    0.1161
有些	   -4.2986	1934	   28.4741	    0.0857	    0.0101
那些	   -4.3743	2260	  142.2074	    0.0720	    0.0505
某些	   -4.3943	2347	  676.8532	    0.0687	    0.2405
哪些	   -4.8621	4572	  231.7383	    0.0234	    0.0823

word	log10(p)	rank	dependance	use fraction	other use fraction
易	   -3.3406
路易	   -3.7835	508	  130.2557	    0.2806	    0.0463
易斯	   -4.0018	973	   38.4843	    0.1698	    0.0137
交易	   -4.1236	1288	  140.5916	    0.1283	    0.0499
贸易	   -4.1288	1305	 1976.9686	    0.1267	    0.7021
网易	   -4.2723	1813	   96.4543	    0.0911	    0.0343
容易	   -4.4098	2412	   89.0297	    0.0664	    0.0316
易所	   -4.5112	2892	   45.5434	    0.0525	    0.0162
刘易	   -4.9980	5152	   43.3943	    0.0171	    0.0154
虹易	   -5.1002	5629	  226.4743	    0.0135	    0.0804
易卜	   -5.1262	5727	  175.8311	    0.0127	    0.0624
易丝	   -5.2133	6062	  129.5827	    0.0104	    0.0460
易娱	   -5.2191	6087	  169.6699	    0.0103	    0.0603

word	log10(p)	rank	dependance	use fraction	other use fraction
章	   -3.3407
勋章	   -4.0985	1215	 1600.9776	    0.1359	    0.5685
文章	   -4.1531	1399	   35.9607	    0.1198	    0.0128
奖章	   -4.4008	2379	  139.8864	    0.0677	    0.0497
章节	   -4.6890	3753	   91.8229	    0.0349	    0.0326
章获	   -4.7074	3843	   88.5931	    0.0334	    0.0315
徽章	   -4.8647	4586	  140.7477	    0.0233	    0.0500
纹章	   -4.9627	5026	  479.1593	    0.0186	    0.1701
勳章	   -4.9982	5154	  474.6069	    0.0171	    0.1685
印章	   -5.0015	5162	   43.5361	    0.0170	    0.0155
宪章	   -5.0321	5306	  178.3771	    0.0158	    0.0633

word	log10(p)	rank	dependance	use fraction	other use fraction
友	   -3.3408
校友	   -3.8545	624	  317.3926	    0.2384	    0.1127
朋友	   -4.0579	1115	 2087.1893	    0.1493	    0.7410
友好	   -4.4213	2455	  165.4362	    0.0646	    0.0587
友谊	   -4.5377	3005	 1839.8981	    0.0494	    0.6532
好友	   -4.6112	3369	  106.8384	    0.0417	    0.0379
女友	   -4.7026	3819	   30.8406	    0.0338	    0.0109
男友	   -4.7835	4193	   54.5078	    0.0281	    0.0194
网友	   -4.7883	4216	   29.4040	    0.0278	    0.0104
友情	   -4.9552	5001	   39.2413	    0.0189	    0.0139
盟友	   -5.1617	5869	   53.4518	    0.0118	    0.0190

word	log10(p)	rank	dependance	use fraction	other use fraction
先	   -3.3411
先生	   -3.9216	781	   97.3529	    0.2044	    0.0345
首先	   -4.3907	2328	  105.0552	    0.0694	    0.0373
先进	   -4.4003	2376	   87.7458	    0.0679	    0.0311
先锋	   -4.6402	3529	  612.6852	    0.0391	    0.2173
祖先	   -4.7945	4241	   72.0406	    0.0274	    0.0256
优先	   -4.8601	4565	  130.9338	    0.0236	    0.0464
先驱	   -4.8856	4682	  445.0340	    0.0222	    0.1579
先蒿	   -4.9387	4918	 1110.0442	    0.0197	    0.3938
领先	   -4.9493	4973	   46.6631	    0.0192	    0.0166
先秦	   -4.9790	5089	  119.5065	    0.0179	    0.0424
先知	   -5.0448	5367	   31.0379	    0.0154	    0.0110
率先	   -5.0641	5460	   57.1687	    0.0147	    0.0203
坚先	   -5.1524	5834	  163.4585	    0.0120	    0.0580

word	log10(p)	rank	dependance	use fraction	other use fraction
朗	   -3.3424
弗朗	   -4.0919	1200	  351.3451	    0.1385	    0.1243
伊朗	   -4.1308	1312	  153.1502	    0.1266	    0.0542
布朗	   -4.1714	1450	   85.0446	    0.1153	    0.0301
元朗	   -4.5773	3190	   45.4926	    0.0453	    0.0161
朗普	   -4.6743	3691	   46.7121	    0.0362	    0.0165
朗索	   -4.7155	3879	   46.7040	    0.0330	    0.0165
夏朗	   -4.9013	4762	   30.4666	    0.0215	    0.0108
朗茨	   -4.9445	4948	   96.9019	    0.0194	    0.0343
佛朗	   -5.1265	5730	   30.9256	    0.0128	    0.0109
朗拿	   -5.1858	5959	   44.9090	    0.0112	    0.0159
朗什	   -5.1941	5983	   37.2504	    0.0109	    0.0132

word	log10(p)	rank	dependance	use fraction	other use fraction
氏	   -3.3428
姓氏	   -4.3777	2271	  160.8863	    0.0718	    0.0569
氏族	   -4.5853	3224	   59.0528	    0.0445	    0.0209
李氏	   -4.7352	3972	   30.2442	    0.0315	    0.0107
氏宗	   -4.9549	4996	   35.9635	    0.0190	    0.0127
邵氏	   -5.0780	5517	  296.3742	    0.0143	    0.1047
佳氏	   -5.1722	5903	   34.4116	    0.0115	    0.0122
氏兄	   -5.1949	5986	   90.7508	    0.0109	    0.0321
氏菌	   -5.2160	6078	   98.8000	    0.0104	    0.0349

word	log10(p)	rank	dependance	use fraction	other use fraction
令	   -3.3429
司令	   -3.8636	640	  215.6679	    0.2346	    0.0762
夏令	   -4.1588	1414	  168.5884	    0.1189	    0.0596
令时	   -4.1621	1426	   69.1960	    0.1180	    0.0244
命令	   -4.2944	1918	  162.7597	    0.0870	    0.0575
令员	   -4.3373	2080	   45.2346	    0.0788	    0.0160
指令	   -4.6041	3329	   88.6220	    0.0426	    0.0313

word	log10(p)	rank	dependance	use fraction	other use fraction
例	   -3.3444
例如	   -3.5824	271	  597.4524	    0.4499	    0.2103
病例	   -4.3031	1946	  274.1624	    0.0856	    0.0965
例子	   -4.3586	2196	   32.4324	    0.0753	    0.0114
比例	   -4.4411	2538	   62.2909	    0.0623	    0.0219
示例	   -4.7226	3917	  109.7766	    0.0326	    0.0386
条例	   -4.7268	3938	   35.4138	    0.0323	    0.0125
案例	   -4.8431	4475	   71.5506	    0.0247	    0.0252
惯例	   -5.0598	5427	  642.0623	    0.0150	    0.2260

word	log10(p)	rank	dependance	use fraction	other use fraction
乌	   -3.3455
乌拉	   -3.8385	601	  106.5287	    0.2501	    0.0374
乌克	   -4.2888	1889	   35.7198	    0.0887	    0.0125
乌鲁	   -4.4667	2655	  130.4585	    0.0589	    0.0458
乌兰	   -4.5915	3258	   47.1196	    0.0442	    0.0165
乌兹	   -4.8308	4417	  146.1506	    0.0255	    0.0513
乌干	   -5.1540	5841	   58.9172	    0.0121	    0.0207
乌头	   -5.1928	5981	   31.5339	    0.0111	    0.0111

